"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
10,"AZ",5471337.00
10,"CA",24939195.00
10,"CO",4375415.00
10,"CT",2372675.00
10,"DC",393278.00
10,"DE",747860.00
10,"FL",14541416.00
10,"GA",6555691.00
10,"HI",0.00
10,"IA",2314867.00
10,"ID",1284774.00
10,"IL",8588126.00
10,"IN",5263152.00
10,"KS",1973677.00
10,"KY",3247728.00
10,"LA",3352476.00
10,"MA",5267758.00
10,"MD",4735104.00
10,"ME",1089266.00
10,"MI",7297237.00
10,"MN",4430394.00
10,"MO",4001820.00
10,"MS",2056151.00
10,"MT",933972.00
10,"NC",7856562.00
10,"ND",674035.00
10,"NE",1548016.00
10,"NH",110403.00
10,"NJ",6766808.00
10,"NM",2209867.00
10,"NV",2170058.00
10,"NY",13407277.00
10,"OH",8566361.00
10,"OK",3499072.00
10,"OR",3150468.00
10,"PA",8209636.00
10,"RI",692000.00
10,"SC",3692404.00
10,"SD",836993.00
10,"TN",4216713.00
10,"TX",0.00
10,"UT",1683573.00
10,"VA",6706622.00
10,"VT",476608.00
10,"WA",5841611.00
10,"WI",4690662.00
10,"WV",1667713.00
10,"WY",497334.00
11,"AK",1003923.00
11,"AL",3731333.00
11,"AR",2282316.00
11,"AZ",6687240.00
11,"CA",30758907.00
11,"CO",5318571.00
11,"CT",3742633.00
11,"DC",489524.00
11,"DE",871036.00
11,"FL",18179891.00
11,"GA",7500334.00
11,"HI",0.00
11,"IA",3095270.00
11,"ID",1547265.00
11,"IL",11139886.00
11,"IN",6186595.00
11,"KS",2432310.00
11,"KY",3947998.00
11,"LA",3981033.00
11,"MA",6632894.00
11,"MD",5520468.00
11,"ME",1362206.00
11,"MI",8611995.00
11,"MN",5381720.00
11,"MO",4758134.00
11,"MS",2393392.00
11,"MT",1122264.00
11,"NC",9738070.00
11,"ND",817701.00
11,"NE",1889375.00
11,"NH",137012.00
11,"NJ",8139813.00
11,"NM",2643056.00
11,"NV",2616763.00
11,"NY",16092308.00
11,"OH",10384302.00
11,"OK",3873324.00
11,"OR",3703578.00
11,"PA",10650030.00
11,"RI",891875.00
11,"SC",4261982.00
11,"SD",1015439.00
11,"TN",4900642.00
11,"TX",0.00
11,"UT",1960295.00
11,"VA",7885041.00
11,"VT",574816.00
11,"WA",6989345.00
11,"WI",5607938.00
11,"WV",1877809.00
11,"WY",578524.00
12,"AK",1103878.00
12,"AL",4206511.00
12,"AR",2569424.00
12,"AZ",7632333.00
12,"CA",38327835.00
12,"CO",6360652.00
12,"CT",4377239.00
12,"DC",561943.00
12,"DE",966029.00
12,"FL",20876207.00
12,"GA",8399523.00
12,"HI",0.00
12,"IA",3707750.00
12,"ID",1814182.00
12,"IL",12927836.00
12,"IN",7044085.00
12,"KS",2920042.00
12,"KY",4602766.00
12,"LA",4567221.00
12,"MA",7825600.00
12,"MD",6251372.00
12,"ME",1582892.00
12,"MI",10153255.00
12,"MN",6294772.00
12,"MO",5522155.00
12,"MS",2728423.00
12,"MT",1262312.00
12,"NC",11072687.00
12,"ND",936566.00
12,"NE",2151157.00
12,"NH",152041.00
12,"NJ",9524918.00
12,"NM",3096682.00
12,"NV",3014220.00
12,"NY",19066625.00
12,"OH",11980954.00
12,"OK",4403725.00
12,"OR",4289720.00
12,"PA",12654601.00
12,"RI",1262356.00
12,"SC",4794145.00
12,"SD",1205112.00
12,"TN",5694111.00
12,"TX",0.00
12,"UT",2265671.00
12,"VA",8867064.00
12,"VT",675986.00
12,"WA",8105179.00
12,"WI",6645981.00
12,"WV",2099323.00
12,"WY",644155.00
13,"AK",1208903.00
13,"AL",4704861.00
13,"AR",3003777.00
13,"AZ",8780577.00
13,"CA",45654555.00
13,"CO",7146305.00
13,"CT",5139244.00
13,"DC",699787.00
13,"DE",1127156.00
13,"FL",24067743.00
13,"GA",9229192.00
13,"HI",0.00
13,"IA",4324914.00
13,"ID",2078388.00
13,"IL",14750026.00
13,"IN",8040723.00
13,"KS",3505117.00
13,"KY",5547086.00
13,"LA",5388917.00
13,"MA",9216345.00
13,"MD",7365635.00
